x_mm,y_mm,z_mm
-28.6030701409,-6.7522689184,-39.5229583520
28.6030701409,-6.7522689184,8.6143488480
-35.3553390593,-10.9254006112,-30.3295507403
28.6030701409,-6.7522689184,-8.6143488480
-17.6776695297,-10.9254006112,-43.1712248185
28.6030701409,-10.9254006112,-20.1992063672
35.3553390593,-10.9254006112,-0.5790587638
46.2807396705,-10.9254006112,3.2903884690
39.5284707521,-17.6776695297,5.3239603790
-28.6030701409,-6.7522689184,39.5229583520
46.2807396705,-6.7522689184,14.8752459882
-10.9254006112,-35.3553390593,14.5173679907
-10.9254006112,-17.6776695297,-45.2047967285
10.9254006112,-17.6776695297,-45.2047967285
0.0000000000,-10.9254006112,-48.7163659638
10.9254006112,-10.9254006112,-44.8469187310
17.6776695297,-17.6776695297,-42.8133468210
0.0000000000,-6.7522689184,-48.4951851975
35.3553390593,-17.6776695297,-18.1656344572
46.2807396705,-17.6776695297,-3.6482664665
28.6030701409,-6.7522689184,39.5229583520
-10.9254006112,-10.9254006112,-34.1989979730
-28.6030701409,-17.6776695297,-28.2959788302
-17.6776695297,-17.6776695297,-36.2325698830
-28.6030701409,-10.9254006112,-21.3573238948
-28.6030701409,-17.6776695297,-9.9091636068
-17.6776695297,-6.7522689184,-25.0055903613
39.5284707521,-10.9254006112,24.0686536000
28.6030701409,-10.9254006112,20.1992063672
35.3553390593,-17.6776695297,18.1656344572
28.6030701409,-10.9254006112,39.3017775857
35.3553390593,-17.6776695297,29.9716727428
17.6776695297,-17.6776695297,23.7107756025
10.9254006112,-10.9254006112,33.0408804454
0.0000000000,-6.7522689184,29.3926139790
-10.9254006112,-46.2807396705,3.2903884690
-17.6776695297,-39.5284707521,5.3239603790
-35.3553390593,-28.6030701409,-0.3578779975
-28.6030701409,-35.3553390593,8.9722268455
-17.6776695297,-35.3553390593,-6.2608971403
-28.6030701409,-28.6030701409,-21.1361431285
-28.6030701409,-28.6030701409,-9.7724663755
17.6776695297,-10.9254006112,-4.9660823815
-35.3553390593,-10.9254006112,30.3295507403
-39.5284707521,-17.6776695297,24.4265315975
-46.2807396705,-10.9254006112,15.0964267545
-28.6030701409,-10.9254006112,-39.3017775857
-17.6776695297,-17.6776695297,-42.8133468210
-10.9254006112,-10.9254006112,-44.8469187310
17.6776695297,-10.9254006112,-43.1712248185
17.6776695297,-28.6030701409,-35.6535111192
28.6030701409,-28.6030701409,-27.7169200665
28.6030701409,-28.6030701409,-20.4203871335
28.6030701409,-35.3553390593,-8.9722268455
-17.6776695297,-10.9254006112,43.1712248185
17.6776695297,-10.9254006112,43.1712248185
35.3553390593,-10.9254006112,0.5790587638
35.3553390593,-28.6030701409,18.7446932210
39.5284707521,-17.6776695297,-5.3239603790
39.5284707521,-17.6776695297,24.4265315975
46.2807396705,-10.9254006112,15.0964267545
35.3553390593,-28.6030701409,0.3578779975
39.5284707521,-28.6030701409,5.9030191428
46.2807396705,-17.6776695297,3.6482664665
46.2807396705,-10.9254006112,-3.2903884690
35.3553390593,-10.9254006112,30.3295507403
28.6030701409,-35.3553390593,20.7782651310
0.0000000000,-46.2807396705,11.2269795218
0.0000000000,-39.5284707521,18.1656344572
10.9254006112,-35.3553390593,14.5173679907
10.9254006112,-46.2807396705,15.0964267545
17.6776695297,-39.5284707521,24.4265315975
0.0000000000,-46.2807396705,18.5235124547
17.6776695297,-28.6030701409,23.8474728337
28.6030701409,-28.6030701409,20.4203871335
28.6030701409,-28.6030701409,27.7169200665
17.6776695297,-10.9254006112,4.9660823815
6.7522689184,-28.6030701409,8.6143488480
-6.7522689184,-28.6030701409,8.6143488480
10.9254006112,-17.6776695297,14.2961872244
-10.9254006112,-28.6030701409,-4.2273252303
-10.9254006112,-10.9254006112,-15.8121827495
-17.6776695297,-17.6776695297,-6.4820779066
0.0000000000,-10.9254006112,17.8077564597
-10.9254006112,-17.6776695297,14.2961872244
-17.6776695297,-10.9254006112,4.9660823815
-28.6030701409,-10.9254006112,39.3017775857
