# 720 via positions -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# M8E: 24 layers x 30 icosahedral edge midpoints, rotated 15 deg/layer
# H3 icosahedral symmetry. Substrate: Rogers 4350B, 0.1mm pitch.
# Total vias: 720 (same as M8G 120-cell). k_c(H3) ~ 2.13.
via_id,layer,angle_deg,x_mm,y_mm,z_mm,r_mm,theta_deg
1,1,0.0,-1.314328,-3.440955,0.0,3.683426,-110.9052
2,1,0.0,-2.126627,-1.314328,0.0,2.5,-148.2825
3,1,0.0,2.126627,-1.314328,0.0,2.5,-31.7175
4,1,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.0,1.314328,-3.440955,0.0,3.683426,-69.0948
6,1,0.0,-3.440955,-2.126627,0.0,4.045085,-148.2825
7,1,0.0,-1.314328,-3.440955,0.0,3.683426,-110.9052
8,1,0.0,0.0,-4.253254,0.0,4.253254,-90.0
9,1,0.0,-3.440955,-2.126627,0.0,4.045085,-148.2825
10,1,0.0,-3.440955,2.126627,0.0,4.045085,148.2825
11,1,0.0,-2.126627,1.314328,0.0,2.5,148.2825
12,1,0.0,-4.253254,0.0,0.0,4.253254,180.0
13,1,0.0,1.314328,-3.440955,0.0,3.683426,-69.0948
14,1,0.0,-2.126627,-1.314328,0.0,2.5,-148.2825
15,1,0.0,0.0,0.0,0.0,0.0,0.0
16,1,0.0,2.126627,-1.314328,0.0,2.5,-31.7175
17,1,0.0,-1.314328,3.440955,0.0,3.683426,110.9052
18,1,0.0,-3.440955,2.126627,0.0,4.045085,148.2825
19,1,0.0,-1.314328,3.440955,0.0,3.683426,110.9052
20,1,0.0,0.0,4.253254,0.0,4.253254,90.0
21,1,0.0,2.126627,1.314328,0.0,2.5,31.7175
22,1,0.0,3.440955,-2.126627,0.0,4.045085,-31.7175
23,1,0.0,3.440955,2.126627,0.0,4.045085,31.7175
24,1,0.0,4.253254,0.0,0.0,4.253254,0.0
25,1,0.0,1.314328,3.440955,0.0,3.683426,69.0948
26,1,0.0,3.440955,-2.126627,0.0,4.045085,-31.7175
27,1,0.0,-2.126627,1.314328,0.0,2.5,148.2825
28,1,0.0,1.314328,3.440955,0.0,3.683426,69.0948
29,1,0.0,2.126627,1.314328,0.0,2.5,31.7175
30,1,0.0,3.440955,2.126627,0.0,4.045085,31.7175
31,2,15.0,-0.378959,-3.66388,0.1,3.683426,-95.9052
32,2,15.0,-1.713991,-1.819955,0.1,2.5,-133.2825
33,2,15.0,2.394337,-0.719132,0.1,2.5,-16.7175
34,2,15.0,0.0,0.0,0.1,0.0,0.0
35,2,15.0,2.160128,-2.983534,0.1,3.683426,-54.0948
36,2,15.0,-2.773296,-2.944749,0.1,4.045085,-133.2825
37,2,15.0,-0.378959,-3.66388,0.1,3.683426,-95.9052
38,2,15.0,1.100823,-4.108328,0.1,4.253254,-75.0
39,2,15.0,-2.773296,-2.944749,0.1,4.045085,-133.2825
40,2,15.0,-3.874119,1.163579,0.1,4.045085,163.2825
41,2,15.0,-2.394337,0.719132,0.1,2.5,163.2825
42,2,15.0,-4.108328,-1.100823,0.1,4.253254,-165.0
43,2,15.0,2.160128,-2.983534,0.1,3.683426,-54.0948
44,2,15.0,-1.713991,-1.819955,0.1,2.5,-133.2825
45,2,15.0,0.0,0.0,0.1,0.0,0.0
46,2,15.0,2.394337,-0.719132,0.1,2.5,-16.7175
47,2,15.0,-2.160128,2.983534,0.1,3.683426,125.9052
48,2,15.0,-3.874119,1.163579,0.1,4.045085,163.2825
49,2,15.0,-2.160128,2.983534,0.1,3.683426,125.9052
50,2,15.0,-1.100823,4.108328,0.1,4.253254,105.0
51,2,15.0,1.713991,1.819955,0.1,2.5,46.7175
52,2,15.0,3.874119,-1.163579,0.1,4.045085,-16.7175
53,2,15.0,2.773296,2.944749,0.1,4.045085,46.7175
54,2,15.0,4.108328,1.100823,0.1,4.253254,15.0
55,2,15.0,0.378959,3.66388,0.1,3.683426,84.0948
56,2,15.0,3.874119,-1.163579,0.1,4.045085,-16.7175
57,2,15.0,-2.394337,0.719132,0.1,2.5,163.2825
58,2,15.0,0.378959,3.66388,0.1,3.683426,84.0948
59,2,15.0,1.713991,1.819955,0.1,2.5,46.7175
60,2,15.0,2.773296,2.944749,0.1,4.045085,46.7175
61,3,30.0,0.582236,-3.637118,0.2,3.683426,-80.9052
62,3,30.0,-1.184549,-2.201555,0.2,2.5,-118.2825
63,3,30.0,2.498877,-0.074928,0.2,2.5,-1.7175
64,3,30.0,0.0,0.0,0.2,0.0,0.0
65,3,30.0,2.858719,-2.32279,0.2,3.683426,-39.0948
66,3,30.0,-1.916641,-3.56219,0.2,4.045085,-118.2825
67,3,30.0,0.582236,-3.637118,0.2,3.683426,-80.9052
68,3,30.0,2.126627,-3.683426,0.2,4.253254,-60.0
69,3,30.0,-1.916641,-3.56219,0.2,4.045085,-118.2825
70,3,30.0,-4.043268,0.121236,0.2,4.045085,178.2825
71,3,30.0,-2.498877,0.074928,0.2,2.5,178.2825
72,3,30.0,-3.683426,-2.126627,0.2,4.253254,-150.0
73,3,30.0,2.858719,-2.32279,0.2,3.683426,-39.0948
74,3,30.0,-1.184549,-2.201555,0.2,2.5,-118.2825
75,3,30.0,0.0,0.0,0.2,0.0,0.0
76,3,30.0,2.498877,-0.074928,0.2,2.5,-1.7175
77,3,30.0,-2.858719,2.32279,0.2,3.683426,140.9052
78,3,30.0,-4.043268,0.121236,0.2,4.045085,178.2825
79,3,30.0,-2.858719,2.32279,0.2,3.683426,140.9052
80,3,30.0,-2.126627,3.683426,0.2,4.253254,120.0
81,3,30.0,1.184549,2.201555,0.2,2.5,61.7175
82,3,30.0,4.043268,-0.121236,0.2,4.045085,-1.7175
83,3,30.0,1.916641,3.56219,0.2,4.045085,61.7175
84,3,30.0,3.683426,2.126627,0.2,4.253254,30.0
85,3,30.0,-0.582236,3.637118,0.2,3.683426,99.0948
86,3,30.0,4.043268,-0.121236,0.2,4.045085,-1.7175
87,3,30.0,-2.498877,0.074928,0.2,2.5,178.2825
88,3,30.0,-0.582236,3.637118,0.2,3.683426,99.0948
89,3,30.0,1.184549,2.201555,0.2,2.5,61.7175
90,3,30.0,1.916641,3.56219,0.2,4.045085,61.7175
91,4,45.0,1.503752,-3.362493,0.3,3.683426,-65.9052
92,4,45.0,-0.574382,-2.433122,0.3,2.5,-103.2825
93,4,45.0,2.433122,0.574382,0.3,2.5,13.2825
94,4,45.0,0.0,0.0,0.3,0.0,0.0
95,4,45.0,3.362493,-1.503752,0.3,3.683426,-24.0948
96,4,45.0,-0.92937,-3.936875,0.3,4.045085,-103.2825
97,4,45.0,1.503752,-3.362493,0.3,3.683426,-65.9052
98,4,45.0,3.007505,-3.007505,0.3,4.253254,-45.0
99,4,45.0,-0.92937,-3.936875,0.3,4.045085,-103.2825
100,4,45.0,-3.936875,-0.92937,0.3,4.045085,-166.7175
101,4,45.0,-2.433122,-0.574382,0.3,2.5,-166.7175
102,4,45.0,-3.007505,-3.007505,0.3,4.253254,-135.0
103,4,45.0,3.362493,-1.503752,0.3,3.683426,-24.0948
104,4,45.0,-0.574382,-2.433122,0.3,2.5,-103.2825
105,4,45.0,0.0,0.0,0.3,0.0,0.0
106,4,45.0,2.433122,0.574382,0.3,2.5,13.2825
107,4,45.0,-3.362493,1.503752,0.3,3.683426,155.9052
108,4,45.0,-3.936875,-0.92937,0.3,4.045085,-166.7175
109,4,45.0,-3.362493,1.503752,0.3,3.683426,155.9052
110,4,45.0,-3.007505,3.007505,0.3,4.253254,135.0
111,4,45.0,0.574382,2.433122,0.3,2.5,76.7175
112,4,45.0,3.936875,0.92937,0.3,4.045085,13.2825
113,4,45.0,0.92937,3.936875,0.3,4.045085,76.7175
114,4,45.0,3.007505,3.007505,0.3,4.253254,45.0
115,4,45.0,-1.503752,3.362493,0.3,3.683426,114.0948
116,4,45.0,3.936875,0.92937,0.3,4.045085,13.2825
117,4,45.0,-2.433122,-0.574382,0.3,2.5,-166.7175
118,4,45.0,-1.503752,3.362493,0.3,3.683426,114.0948
119,4,45.0,0.574382,2.433122,0.3,2.5,76.7175
120,4,45.0,0.92937,3.936875,0.3,4.045085,76.7175
121,5,60.0,2.32279,-2.858719,0.4,3.683426,-50.9052
122,5,60.0,0.074928,-2.498877,0.4,2.5,-88.2825
123,5,60.0,2.201555,1.184549,0.4,2.5,28.2825
124,5,60.0,0.0,0.0,0.4,0.0,0.0
125,5,60.0,3.637118,-0.582236,0.4,3.683426,-9.0948
126,5,60.0,0.121236,-4.043268,0.4,4.045085,-88.2825
127,5,60.0,2.32279,-2.858719,0.4,3.683426,-50.9052
128,5,60.0,3.683426,-2.126627,0.4,4.253254,-30.0
129,5,60.0,0.121236,-4.043268,0.4,4.045085,-88.2825
130,5,60.0,-3.56219,-1.916641,0.4,4.045085,-151.7175
131,5,60.0,-2.201555,-1.184549,0.4,2.5,-151.7175
132,5,60.0,-2.126627,-3.683426,0.4,4.253254,-120.0
133,5,60.0,3.637118,-0.582236,0.4,3.683426,-9.0948
134,5,60.0,0.074928,-2.498877,0.4,2.5,-88.2825
135,5,60.0,0.0,0.0,0.4,0.0,0.0
136,5,60.0,2.201555,1.184549,0.4,2.5,28.2825
137,5,60.0,-3.637118,0.582236,0.4,3.683426,170.9052
138,5,60.0,-3.56219,-1.916641,0.4,4.045085,-151.7175
139,5,60.0,-3.637118,0.582236,0.4,3.683426,170.9052
140,5,60.0,-3.683426,2.126627,0.4,4.253254,150.0
141,5,60.0,-0.074928,2.498877,0.4,2.5,91.7175
142,5,60.0,3.56219,1.916641,0.4,4.045085,28.2825
143,5,60.0,-0.121236,4.043268,0.4,4.045085,91.7175
144,5,60.0,2.126627,3.683426,0.4,4.253254,60.0
145,5,60.0,-2.32279,2.858719,0.4,3.683426,129.0948
146,5,60.0,3.56219,1.916641,0.4,4.045085,28.2825
147,5,60.0,-2.201555,-1.184549,0.4,2.5,-151.7175
148,5,60.0,-2.32279,2.858719,0.4,3.683426,129.0948
149,5,60.0,-0.074928,2.498877,0.4,2.5,91.7175
150,5,60.0,-0.121236,4.043268,0.4,4.045085,91.7175
151,6,75.0,2.983534,-2.160128,0.5,3.683426,-35.9052
152,6,75.0,0.719132,-2.394337,0.5,2.5,-73.2825
153,6,75.0,1.819955,1.713991,0.5,2.5,43.2825
154,6,75.0,0.0,0.0,0.5,0.0,0.0
155,6,75.0,3.66388,0.378959,0.5,3.683426,5.9052
156,6,75.0,1.163579,-3.874119,0.5,4.045085,-73.2825
157,6,75.0,2.983534,-2.160128,0.5,3.683426,-35.9052
158,6,75.0,4.108328,-1.100823,0.5,4.253254,-15.0
159,6,75.0,1.163579,-3.874119,0.5,4.045085,-73.2825
160,6,75.0,-2.944749,-2.773296,0.5,4.045085,-136.7175
