n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
0,-0.7663118961,-0.1463525492,0.3831559480,-0.2368033989,-42.5325404176,-8.1229924058,0.4305279146
1,-0.7663118961,0.1463525492,0.3831559480,-0.2368033989,-42.5325404176,8.1229924058,0.4305279146
2,0.2368033989,-0.6199593469,0.4736067977,-0.3831559480,13.1432778030,-34.4095480118,-3.6922627286
3,0.3831559480,-0.7663118961,0.1463525492,-0.2368033989,21.2662702088,-42.5325404176,-6.6708153891
4,-0.1463525492,-0.3831559480,-0.7663118961,0.2368033989,-8.1229924058,-21.2662702088,-11.9207427456
5,0.4736067977,-0.3831559480,0.2368033989,-0.6199593469,26.2865556060,-21.2662702088,-21.8532929487
6,0.3831559480,-0.6199593469,-0.5295084972,0.0000000000,21.2662702088,-34.4095480118,-15.8790863584
7,-0.8567627458,0.2368033989,0.0000000000,-0.1463525492,-47.5528258148,13.1432778030,-6.8352624193
8,-0.6199593469,-0.2368033989,-0.3831559480,0.4736067977,-34.4095480118,-13.1432778030,10.6291590019
9,0.1463525492,-0.2368033989,-0.8567627458,0.0000000000,8.1229924058,-13.1432778030,-25.6929014383
10,-0.3831559480,-0.1463525492,0.2368033989,-0.7663118961,-21.2662702088,-8.1229924058,-28.6885553680
11,0.3831559480,-0.2368033989,-0.4736067977,-0.6199593469,21.2662702088,-13.1432778030,-43.1573228595
12,-0.6199593469,0.1463525492,0.6199593469,-0.1463525492,-34.4095480118,8.1229924058,11.7562957153
13,0.0000000000,0.7663118961,0.0000000000,0.4736067977,0.0000000000,42.5325404176,22.1193738330
14,0.1463525492,0.6199593469,0.1463525492,-0.6199593469,8.1229924058,34.4095480118,-24.5657647249
15,0.6199593469,-0.2368033989,-0.3831559480,-0.4736067977,34.4095480118,-13.1432778030,-33.6095886640
16,-0.1463525492,0.2368033989,-0.8567627458,0.0000000000,-8.1229924058,13.1432778030,-25.6929014383
17,0.6199593469,-0.3831559480,0.0000000000,-0.5295084972,34.4095480118,-21.2662702088,-24.7302117551
18,-0.1463525492,-0.7663118961,-0.2368033989,0.3831559480,-8.1229924058,-42.5325404176,10.7936060322
19,-0.3831559480,-0.2368033989,-0.7663118961,0.1463525492,-21.2662702088,-13.1432778030,-16.1451672427
20,-0.1463525492,0.0000000000,0.2368033989,0.8567627458,-8.1229924058,0.0000000000,47.1156664724
21,0.0000000000,-0.7663118961,-0.4736067977,0.0000000000,0.0000000000,-42.5325404176,-14.2026866072
22,-0.3831559480,-0.6199593469,-0.2368033989,-0.4736067977,-21.2662702088,-34.4095480118,-29.2207171366
23,0.0000000000,-0.4736067977,0.0000000000,-0.7663118961,0.0000000000,-26.2865556060,-35.7898986716
24,-0.4736067977,0.3831559480,0.2368033989,0.6199593469,-26.2865556060,21.2662702088,36.0559795559
25,0.7663118961,0.2368033989,-0.1463525492,0.3831559480,42.5325404176,13.1432778030,13.5060778084
26,0.7663118961,0.1463525492,-0.3831559480,0.2368033989,42.5325404176,8.1229924058,-0.4305279146
27,-0.4736067977,-0.3831559480,0.2368033989,-0.6199593469,-26.2865556060,-21.2662702088,-21.8532929487
28,0.4736067977,0.7663118961,0.0000000000,0.0000000000,26.2865556060,42.5325404176,0.0000000000
29,0.6199593469,-0.4736067977,-0.2368033989,0.3831559480,34.4095480118,-26.2865556060,10.7936060322
30,0.6199593469,-0.4736067977,0.2368033989,-0.3831559480,34.4095480118,-26.2865556060,-10.7936060322
31,-0.3831559480,0.7663118961,-0.1463525492,-0.2368033989,-21.2662702088,42.5325404176,-15.4485584439
32,-0.5295084972,0.6199593469,0.0000000000,-0.3831559480,-29.3892626146,34.4095480118,-17.8949493358
33,0.0000000000,0.1463525492,-0.8567627458,-0.2368033989,0.0000000000,8.1229924058,-36.7525883547
