n,x,sym,method,trials,errors,error_rate,mean_error,std_error
0,0.5,1,A_LLM_T0,5,0,0.0000,9.8243e-07,2.18398e-06
0,1.0,1,A_LLM_T0,5,0,0.0000,1.56045e-05,0
0,1.5,1,A_LLM_T0,5,0,0.0000,2.06325e-05,0
0,2.0,1,A_LLM_T0,5,0,0.0000,0,0
0,2.5,1,A_LLM_T0,5,3,0.6000,0.463874,0.423457
0,3.0,1,A_LLM_T0,5,0,0.0000,8.88178e-16,0
0,5.0,1,A_LLM_T0,5,0,0.0000,2.36044e-08,0
0,10.0,1,A_LLM_T0,5,0,0.0000,4.54747e-13,0
1,0.5,1,A_LLM_T0,5,5,1.0000,0.0155671,0
1,1.0,1,A_LLM_T0,5,5,1.0000,0.125109,0
1,1.5,1,A_LLM_T0,5,0,0.0000,3.92452e-05,0
1,2.0,1,A_LLM_T0,5,5,1.0000,0.331677,0
1,2.5,1,A_LLM_T0,5,5,1.0000,1.31466,0
1,3.0,1,A_LLM_T0,5,0,0.0000,4.44089e-16,0
1,5.0,1,A_LLM_T0,5,5,1.0000,21.0478,0
1,10.0,1,A_LLM_T0,5,5,1.0000,2668.32,0
2,0.5,2,A_LLM_T0,5,5,1.0000,0.00106051,0
2,1.0,2,A_LLM_T0,5,0,0.0000,1.86361e-09,4.69867e-12
2,1.5,2,A_LLM_T0,5,5,1.0000,0.105747,1.55158e-17
2,2.0,2,A_LLM_T0,5,5,1.0000,0.417453,6.20634e-17
2,2.5,2,A_LLM_T0,5,5,1.0000,,
2,3.0,2,A_LLM_T0,5,5,1.0000,,
2,5.0,2,A_LLM_T0,5,5,1.0000,,
2,10.0,2,A_LLM_T0,5,5,1.0000,,
3,0.5,2,A_LLM_T0,5,5,1.0000,,
3,1.0,2,A_LLM_T0,5,5,1.0000,,
3,1.5,2,A_LLM_T0,5,5,1.0000,,
3,2.0,2,A_LLM_T0,5,5,1.0000,,
3,2.5,2,A_LLM_T0,5,5,1.0000,,
3,3.0,2,A_LLM_T0,5,5,1.0000,0.692655,0
3,5.0,2,A_LLM_T0,5,5,1.0000,7.17446,0
