# 30 via positions -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# Via = icosahedron edge midpoint = H3 face centre
# 3D columns: exact H3 geometry for sym check
# PCB columns: linear projection to 100mm disc, 24 layers
# H3 angles at via centres: 60 deg x2, 108 deg x2, 144 deg x2
# 4 nearest neighbours per via at distance 0.52573111
n,x_3d,y_3d,z_3d,x_mm,y_mm,r_mm,theta_deg,layer
1,0.000000000000,0.000000000000,0.850650808352,0.000000,0.000000,0.000000,0.0000,24
2,0.262865556060,0.688190960236,0.425325404176,22.488498,58.875652,63.024400,69.0948,18
3,-0.262865556060,0.688190960236,0.425325404176,-22.488498,58.875652,63.024400,110.9052,18
4,0.425325404176,0.262865556060,0.688190960236,36.387154,22.488498,42.775665,31.7175,22
5,-0.425325404176,0.262865556060,0.688190960236,-36.387154,22.488498,42.775665,148.2825,22
6,0.000000000000,0.000000000000,-0.850650808352,0.000000,0.000000,0.000000,0.0000,1
7,0.262865556060,0.688190960236,-0.425325404176,22.488498,58.875652,63.024400,69.0948,7
8,-0.262865556060,0.688190960236,-0.425325404176,-22.488498,58.875652,63.024400,110.9052,7
9,0.425325404176,0.262865556060,-0.688190960236,36.387154,22.488498,42.775665,31.7175,3
10,-0.425325404176,0.262865556060,-0.688190960236,-36.387154,22.488498,42.775665,148.2825,3
11,0.262865556060,-0.688190960236,0.425325404176,22.488498,-58.875652,63.024400,-69.0948,18
12,-0.262865556060,-0.688190960236,0.425325404176,-22.488498,-58.875652,63.024400,-110.9052,18
13,0.425325404176,-0.262865556060,0.688190960236,36.387154,-22.488498,42.775665,-31.7175,22
14,-0.425325404176,-0.262865556060,0.688190960236,-36.387154,-22.488498,42.775665,-148.2825,22
15,0.262865556060,-0.688190960236,-0.425325404176,22.488498,-58.875652,63.024400,-69.0948,7
16,-0.262865556060,-0.688190960236,-0.425325404176,-22.488498,-58.875652,63.024400,-110.9052,7
17,0.425325404176,-0.262865556060,-0.688190960236,36.387154,-22.488498,42.775665,-31.7175,3
18,-0.425325404176,-0.262865556060,-0.688190960236,-36.387154,-22.488498,42.775665,-148.2825,3
19,0.000000000000,0.850650808352,0.000000000000,0.000000,72.774309,72.774309,90.0000,12
20,0.688190960236,0.425325404176,0.262865556060,58.875652,36.387154,69.212481,31.7175,16
21,0.688190960236,0.425325404176,-0.262865556060,58.875652,36.387154,69.212481,31.7175,9
22,0.000000000000,-0.850650808352,0.000000000000,0.000000,-72.774309,72.774309,-90.0000,12
23,0.688190960236,-0.425325404176,0.262865556060,58.875652,-36.387154,69.212481,-31.7175,16
24,0.688190960236,-0.425325404176,-0.262865556060,58.875652,-36.387154,69.212481,-31.7175,9
25,-0.688190960236,0.425325404176,0.262865556060,-58.875652,36.387154,69.212481,148.2825,16
26,-0.688190960236,0.425325404176,-0.262865556060,-58.875652,36.387154,69.212481,148.2825,9
27,-0.688190960236,-0.425325404176,0.262865556060,-58.875652,-36.387154,69.212481,-148.2825,16
28,-0.688190960236,-0.425325404176,-0.262865556060,-58.875652,-36.387154,69.212481,-148.2825,9
29,0.850650808352,0.000000000000,0.000000000000,72.774309,0.000000,72.774309,0.0000,12
30,-0.850650808352,0.000000000000,0.000000000000,-72.774309,0.000000,72.774309,180.0000,12
