p,dist,1/p,ap_a,ap_b_tr,ap_c_tr,max_ap,R,cos2pi_p,lemma41_pass,weil_ok
5,0.42920367,0.2,-1,0,1,1,0.223607,0.309017,True,True
7,0.19911486,0.14285714,-2,6,4,6,1.133893,0.62349,False,True
17,0.34070751,0.05882353,-4,6,0,6,0.727607,0.932472,True,True
19,0.03097396,0.05263158,2,8,-10,10,1.147079,0.945817,False,True
23,0.2256631,0.04347826,7,-4,11,11,1.146829,0.962917,False,True
29,0.1106187,0.03448276,-2,-10,2,10,0.928477,0.976621,True,True
31,0.26106277,0.03225806,-3,2,-9,9,0.808224,0.97953,True,True
37,0.37610718,0.02702703,-11,12,15,15,1.232992,0.985616,False,True
41,0.11947012,0.02439024,10,8,-4,10,0.780869,0.98828,True,True
43,0.49115159,0.02325581,-4,26,-2,26,1.982481,0.989343,False,True
47,0.23451453,0.0212766,-4,-18,6,18,1.312785,0.991077,False,True
53,0.34955894,0.01886792,2,-6,2,6,0.412082,0.992981,True,True
59,0.46460334,0.01694915,-1,-16,11,16,1.041511,0.994335,False,True
61,0.16371519,0.01639344,-2,-12,16,16,1.024295,0.9947,False,True
67,0.04867078,0.01492537,-1,2,9,9,0.549762,0.995606,True,True
71,0.30530784,0.01408451,-9,-14,-15,15,0.890086,0.996087,True,True
73,0.06637363,0.01369863,-16,22,32,32,1.872658,0.996298,False,True
79,0.18141804,0.01265823,8,-10,14,14,0.787562,0.996839,True,True
83,0.07521902,0.01204819,0,-2,-26,26,1.426935,0.997136,False,True
89,0.03982538,0.01123596,-7,10,-23,23,1.218998,0.997509,False,True
97,0.47344874,0.01030928,-13,22,27,27,1.370717,0.997903,False,True
101,0.2699142,0.00990099,18,-18,18,18,0.895533,0.998066,True,True
103,0.35840433,0.00970874,8,-8,-16,16,0.788263,0.99814,True,True
107,0.38495861,0.00934579,8,2,-34,34,1.643452,0.998276,False,True
109,0.24335992,0.00917431,4,6,-12,12,0.574696,0.998339,True,True
113,0.49999699,0.00884956,1,-18,49,49,2.304766,0.998455,False,True
127,0.1017733,0.00787402,-8,-2,10,10,0.443678,0.998776,True,True
131,0.15486376,0.00763359,18,-16,-30,30,1.310556,0.99885,False,True
137,0.03981935,0.00729927,-17,-4,17,17,0.726204,0.998948,True,True
139,0.33186212,0.00719424,18,-28,6,28,1.187465,0.998979,False,True
149,0.19026946,0.00671141,14,12,-20,20,0.819232,0.999111,True,True
151,0.43804907,0.00662252,4,0,-16,16,0.651031,0.999134,True,True
