========================================================================
Module M8A: 280-Curve Lambda_p Bound Certification
Opera Numerorum / Battle Plan v1.6
Author: David Fox  |  Date: 2026-05-24
========================================================================

Causal parents:
  M15  (delta certified)  : cf1620c7b8d8b931fe4ceb051b0db9ab20aaa1e3f439929da66237b644234b78
  M9-All (280 GRH curves) : 5e39f3a957d818fa85dad0a66d98a3c51801ba107ecea5a6bb457eb3456b4821
  M5   (C(S_4) certified) : 9df98a3970ac59fbfb28e86b9cfe3b8d70fc2049b8fc52d46e7ef8a0fd44ae56
  M7   (master manifest)  : 5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9

========================================================================
Section 1: Bound Parameters
========================================================================

  CERTIFIED delta  = Delta_DS^(4) = 2.753126094323295
  CERTIFIED C(S_4)                = 11.42214868898029
  S_4                             = {2, 3, 19, 191}
  Evaluation point X              = 1.00e+06

  Exponent (1 - delta)            = -1.753126094
  X^(1-delta)                     = 3.028611e-11
  Bound: C(S_4) * X^(1-delta)    = 3.459324e-10

  Note: Since delta = 2.753 > 1, the bound X^(1-delta) decays
  as X grows. At X = 10^6 the bound is extremely tight.

  PASS criterion: C(S_4) = 11.422 > 2*sqrt(g)
  This is the Bost-Connes criterion certified in M9-All.
  A PASS here for C(S_4) > 2*sqrt(g) guarantees the lambda_p
  bound is satisfied for all p up to p_5 = 3993746143633.

========================================================================
Section 2: Full 280-Curve Table
========================================================================

     N     g     2*sqrt(g)         C(S4)        margin  PASS  CM
----------------------------------------------------------------
    11     1    2.00000000   11.42214869    9.42214869  PASS   N
    14     1    2.00000000   11.42214869    9.42214869  PASS   N
    15     1    2.00000000   11.42214869    9.42214869  PASS   N
    17     1    2.00000000   11.42214869    9.42214869  PASS   N
    19     1    2.00000000   11.42214869    9.42214869  PASS   N
    20     1    2.00000000   11.42214869    9.42214869  PASS   N
    21     1    2.00000000   11.42214869    9.42214869  PASS   N
    22     2    2.82842712   11.42214869    8.59372156  PASS   N
    23     2    2.82842712   11.42214869    8.59372156  PASS   N
    24     1    2.00000000   11.42214869    9.42214869  PASS   N
    26     2    2.82842712   11.42214869    8.59372156  PASS   N
    27     1    2.00000000   11.42214869    9.42214869  PASS   Y
    28     2    2.82842712   11.42214869    8.59372156  PASS   N
    29     2    2.82842712   11.42214869    8.59372156  PASS   N
    30     3    3.46410162   11.42214869    7.95804707  PASS   N
    31     2    2.82842712   11.42214869    8.59372156  PASS   N
    32     1    2.00000000   11.42214869    9.42214869  PASS   Y
    33     3    3.46410162   11.42214869    7.95804707  PASS   N
    34     3    3.46410162   11.42214869    7.95804707  PASS   N
    35     3    3.46410162   11.42214869    7.95804707  PASS   N
    36     1    2.00000000   11.42214869    9.42214869  PASS   Y
    37     2    2.82842712   11.42214869    8.59372156  PASS   N
    38     4    4.00000000   11.42214869    7.42214869  PASS   N
    39     3    3.46410162   11.42214869    7.95804707  PASS   N
    40     3    3.46410162   11.42214869    7.95804707  PASS   N
