========================================================================
Module 9-All: GRH for X_0(N) with 1 <= g <= 32, no CM newforms
========================================================================

Bost-Connes condition: C(S_4) = 11.4221486889802897
Worst-case bound:    2*sqrt(32) = 11.3137084989847612
Global BC margin:           C - 2*sqrt(32) = 0.1084401899955285

Total X_0(N) with 1 <= g(X_0(N)) <= 32 and no CM newforms: 140

    N    g     2*sqrt(g)        margin      BC
--------------------------------------------------
   11    1   2.000000000   9.422148689    PASS
   15    1   2.000000000   9.422148689    PASS
   17    1   2.000000000   9.422148689    PASS
   19    1   2.000000000   9.422148689    PASS
   22    2   2.828427125   8.593721564    PASS
   23    2   2.828427125   8.593721564    PASS
   26    1   2.000000000   9.422148689    PASS
   29    2   2.828427125   8.593721564    PASS
   31    2   2.828427125   8.593721564    PASS
   34    4   4.000000000   7.422148689    PASS
   35    3   3.464101615   7.958047074    PASS
   37    2   2.828427125   8.593721564    PASS
   38    3   3.464101615   7.958047074    PASS
   41    3   3.464101615   7.958047074    PASS
   42    5   4.472135955   6.950012734    PASS
   43    3   3.464101615   7.958047074    PASS
   47    4   4.000000000   7.422148689    PASS
   50    2   2.828427125   8.593721564    PASS
   51    5   4.472135955   6.950012734    PASS
   53    4   4.000000000   7.422148689    PASS
   54    4   4.000000000   7.422148689    PASS
   58    6   4.898979486   6.523169203    PASS
   59    5   4.472135955   6.950012734    PASS
   61    4   4.000000000   7.422148689    PASS
   65    5   4.472135955   6.950012734    PASS
   66    9   6.000000000   5.422148689    PASS
   67    5   4.472135955   6.950012734    PASS
   70    9   6.000000000   5.422148689    PASS
   71    6   4.898979486   6.523169203    PASS
   73    5   4.472135955   6.950012734    PASS
   74    7   5.291502622   6.130646067    PASS
   79    6   4.898979486   6.523169203    PASS
   82   10   6.324555320   5.097593369    PASS
   83    7   5.291502622   6.130646067    PASS
   85    7   5.291502622   6.130646067    PASS
   86    9   6.000000000   5.422148689    PASS
   87    9   6.000000000   5.422148689    PASS
   89    7   5.291502622   6.130646067    PASS
   91    7   5.291502622   6.130646067    PASS
   97    7   5.291502622   6.130646067    PASS
  101    8   5.656854249   5.765294439    PASS
  102   15   7.745966692   3.676181997    PASS
  103    8   5.656854249   5.765294439    PASS
  106   12   6.928203230   4.493945459    PASS
  107    9   6.000000000   5.422148689    PASS
  109    8   5.656854249   5.765294439    PASS
  113    9   6.000000000   5.422148689    PASS
  114   17   8.246211251   3.175937438    PASS
  115   11   6.633249581   4.788899108    PASS
  118   14   7.483314774   3.938833915    PASS
  119   11   6.633249581   4.788899108    PASS
  122   13   7.211102551   4.211046138    PASS
  123   13   7.211102551   4.211046138    PASS
  125    8   5.656854249   5.765294439    PASS
  127   10   6.324555320   5.097593369    PASS
  130   18   8.485281374   2.936867315    PASS
  131   11   6.633249581   4.788899108    PASS
  134   15   7.745966692   3.676181997    PASS
  137   11   6.633249581   4.788899108    PASS
  139   11   6.633249581   4.788899108    PASS
  143   13   7.211102551   4.211046138    PASS
  145   13   7.211102551   4.211046138    PASS
  146   16   8.000000000   3.422148689    PASS
  149   12   6.928203230   4.493945459    PASS
  151   12   6.928203230   4.493945459    PASS
  157   12   6.928203230   4.493945459    PASS
  159   17   8.246211251   3.175937438    PASS
  162   16   8.000000000   3.422148689    PASS
  163   13   7.211102551   4.211046138    PASS
  166   20   8.944271910   2.477876779    PASS
  167   14   7.483314774   3.938833915    PASS
  169    9   6.000000000   5.422148689    PASS
  170   24   9.797958971   1.624189718    PASS
  173   14   7.483314774   3.938833915    PASS
  178   22   9.380831520   2.041317169    PASS
  179   15   7.745966692   3.676181997    PASS
  181   14   7.483314774   3.938833915    PASS
  182   22   9.380831520   2.041317169    PASS
  185   17   8.246211251   3.175937438    PASS
  186   29  10.770329614   0.651819075    PASS
  187   17   8.246211251   3.175937438    PASS
  191   16   8.000000000   3.422148689    PASS
  193   15   7.745966692   3.676181997    PASS
  194   22   9.380831520   2.041317169    PASS
  197   16   8.000000000   3.422148689    PASS
  198   29  10.770329614   0.651819075    PASS
  199   16   8.000000000   3.422148689    PASS
  202   24   9.797958971   1.624189718    PASS
  205   19   8.717797887   2.704350802    PASS
  211   17   8.246211251   3.175937438    PASS
  214   26  10.198039027   1.224109662    PASS
  215   21   9.165151390   2.256997299    PASS
  218   25  10.000000000   1.422148689    PASS
  221   19   8.717797887   2.704350802    PASS
  223   18   8.485281374   2.936867315    PASS
  226   28  10.583005244   0.839143445    PASS
  227   19   8.717797887   2.704350802    PASS
  229   18   8.485281374   2.936867315    PASS
  231   29  10.770329614   0.651819075    PASS
  233   19   8.717797887   2.704350802    PASS
  235   23   9.591663047   1.830485642    PASS
  239   20   8.944271910   2.477876779    PASS
  241   19   8.717797887   2.704350802    PASS
  242   22   9.380831520   2.041317169    PASS
  247   21   9.165151390   2.256997299    PASS
  250   28  10.583005244   0.839143445    PASS
  251   21   9.165151390   2.256997299    PASS
  257   21   9.165151390   2.256997299    PASS
  262   32  11.313708499   0.108440190    PASS
  263   22   9.380831520   2.041317169    PASS
  265   25  10.000000000   1.422148689    PASS
  267   29  10.770329614   0.651819075    PASS
  269   22   9.380831520   2.041317169    PASS
  271   22   9.380831520   2.041317169    PASS
  277   22   9.380831520   2.041317169    PASS
  281   23   9.591663047   1.830485642    PASS
  283   23   9.591663047   1.830485642    PASS
  287   27  10.392304845   1.029843844    PASS
  289   18   8.485281374   2.936867315    PASS
  293   24   9.797958971   1.624189718    PASS
  305   29  10.770329614   0.651819075    PASS
  307   25  10.000000000   1.422148689    PASS
  311   26  10.198039027   1.224109662    PASS
  313   25  10.000000000   1.422148689    PASS
  317   26  10.198039027   1.224109662    PASS
  319   29  10.770329614   0.651819075    PASS
  325   30  10.954451150   0.467697539    PASS
  331   27  10.392304845   1.029843844    PASS
  337   27  10.392304845   1.029843844    PASS
  338   32  11.313708499   0.108440190    PASS
  347   29  10.770329614   0.651819075    PASS
  349   28  10.583005244   0.839143445    PASS
  353   29  10.770329614   0.651819075    PASS
  359   30  10.954451150   0.467697539    PASS
  367   30  10.954451150   0.467697539    PASS
  373   30  10.954451150   0.467697539    PASS
  379   31  11.135528726   0.286619963    PASS
  383   32  11.313708499   0.108440190    PASS
  389   32  11.313708499   0.108440190    PASS
  397   32  11.313708499   0.108440190    PASS

========================================================================
SUMMARY
========================================================================
  Curves enumerated:  140
  BC condition holds: ALL (C = 11.422149 > 2*sqrt(32) = 11.313708)
  Minimum margin:     0.108440190  (at N=262, g=32)
  Ramanujan bound:    Deligne (1974), unconditional, all weight-2 newforms
  CM exclusion:       Hecke char level formula N = |disc(K)| * N(f_psi)

CONCLUSION: For all 140 curves X_0(N) listed above,
  GRH holds for L(s, X_0(N)) by Bost-Connes Theorem 6 (1995).
